,CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
967,A2780,MRK-003,SN-38,10.0,0.005,6.565226945,1.871427734,42.52617738,0.001749165,1.310221706,20.57815472,0,16.33492851,16.51656066,27.6327012,1,1,MRK-003.SN-38
11206,NCIH2122,PACLITAXEL,SUNITINIB,0.04,5.0,0.001716632,10.0,6.612943172,3.332637087,10.0,60.32903639,0,-15.8237403,-10.02748887,-7.294996236,1,1,PACLITAXEL.SUNITINIB
3769,DLD1,ERLOTINIB,GELDANAMYCIN,5.0,2.0,4.645981859,1.080847422,0.0,0.389290728,1.558975138,48.47430332,0,36.14346267,27.83350373,46.85133905,1,1,ERLOTINIB.GELDANAMYCIN
20635,UACC62,TEMOZOLOMIDE,ERLOTINIB,250.0,5.0,49.2149162,1.738459268,73.96300333,3.243922322,1.226950001,16.77527209,0,31.09965923,23.95444975,38.52773936,1,1,ERLOTINIB.TEMOZOLOMIDE
1429,A375,LAPATINIB,DINACICLIB,5.0,0.04,1.0,0.0,100.0,0.012910902,3.244030646,7.29614007,0,29.28588209,29.28588209,29.28588209,1,1,DINACICLIB.LAPATINIB
4145,DLD1,VINORELBINE,LAPATINIB,0.04,5.0,0.035792086,1.90221198,39.73794881,5.0,0.734410513,69.41530848,0,38.53102626,36.16417997,42.83714258,1,1,LAPATINIB.VINORELBINE
15119,PA1,MK-2206,GELDANAMYCIN,4.0,2.0,4.0,1.386792155,73.45705124,2.0,10.0,66.80882581,0,20.97251824,23.31786292,25.07917702,1,1,GELDANAMYCIN.MK-2206
20077,T47D,VINBLASTINE,LAPATINIB,0.04,5.0,0.019087428,0.557574071,0.0,0.366750114,0.709811048,33.895983,0,-31.42839582,-74.91146692,-21.83364657,1,1,LAPATINIB.VINBLASTINE
10455,NCIH1650,MK-5108,MK-8669,2.0,0.01,2.0,1.032189821,61.96625215,0.001358444,0.812534979,75.9399994,0,24.2739052,14.68918816,28.22200783,1,1,MK-5108.MK-8669
8994,MDAMB436,AZD1775,MK-8669,0.5,0.01,0.5,1.764110983,23.02831537,0.000563524,2.571252501,74.2451892,0,18.77450087,12.84777502,24.71942314,1,1,AZD1775.MK-8669
466,A2058,PACLITAXEL,AZD1775,0.04,0.5,0.00174896,10.0,1.723012934,0.212832215,10.0,26.78168024,0,-29.72483852,-2.750865301,3.812999978,1,1,AZD1775.PACLITAXEL
14792,OVCAR3,VINBLASTINE,MK-8669,0.04,0.01,0.011309424,2.129466229,0.0,0.000695729,1.617905165,67.02791938,0,31.33794582,15.58349694,35.91890111,1,1,MK-8669.VINBLASTINE
22161,VCAP,MK-4541,LAPATINIB,4.0,5.0,0.305830359,3.46434626,86.24589986,0.591393554,1.76008894,87.12517882,0,29.87329418,20.66565591,33.20535356,1,1,LAPATINIB.MK-4541
19341,SW837,MRK-003,ZOLINZA,10.0,4.0,4.985623296,2.959677302,62.23236391,1.253704824,10.0,13.20446306,0,16.35147573,22.88122377,27.30669617,1,1,MRK-003.ZOLINZA
11267,NCIH2122,VINBLASTINE,ERLOTINIB,0.04,5.0,0.00915818,10.0,13.69524551,1.832641816,1.295925477,17.31900126,0,46.4865841,72.55800917,84.20021803,1,1,ERLOTINIB.VINBLASTINE
14443,OVCAR3,ETOPOSIDE,MK-8669,4.0,0.01,0.193795465,10.0,53.51814968,0.000695729,1.617905165,67.02791938,0,-19.17110187,-48.53685014,-12.87926353,1,1,ETOPOSIDE.MK-8669
11036,NCIH2122,MK-4827,BORTEZOMIB,10.0,0.04,6.469999429,1.063683171,72.45802623,0.009790456,10.0,13.19441142,0,34.10303839,30.94532607,36.57143362,1,1,BORTEZOMIB.MK-4827
19392,SW837,MITOMYCINE,MK-2206,1.0,4.0,0.294926288,0.779094315,14.26280299,0.206308566,10.0,65.97735249,0,32.15586561,6.064951381,39.46897564,1,1,MITOMYCINE.MK-2206
16072,RPMI7951,AZD1775,MK-4827,0.5,10.0,0.222065253,4.074925086,21.21454364,3.668645913,10.0,58.39980573,0,19.38777574,30.5457186,33.86617364,1,1,AZD1775.MK-4827
19045,SW837,CARBOPLATIN,MK-5108,50.0,2.0,11.19853346,1.356388245,84.32249955,2.0,10.0,93.23041416,0,-19.17935419,-19.01345408,-18.01051436,1,1,CARBOPLATIN.MK-5108
18135,SKOV3,MRK-003,LAPATINIB,10.0,5.0,10.0,3.720052352,78.41020012,0.266342994,1.345824261,66.50553236,0,24.58000398,23.78990839,27.53616134,1,1,LAPATINIB.MRK-003
1818,A427,ABT-888,SORAFENIB,10.0,20.0,10.0,0.864772801,60.257284,4.894644804,1.264497593,0.0,0,15.95703965,11.55420663,16.29448137,1,1,ABT-888.SORAFENIB
6457,HT144,PACLITAXEL,MK-8669,0.04,0.01,0.0050512,1.34513379,29.50434466,0.000537102,10.0,83.73656891,0,31.94673495,16.51627197,36.14719613,1,1,MK-8669.PACLITAXEL
16630,SKMEL30,5-FU,MK-8669,10.0,0.01,3.267220926,10.0,64.80363476,0.000562442,10.0,92.29145298,0,25.93301217,23.25939516,28.12740932,1,1,5-FU.MK-8669
9618,MSTO,CARBOPLATIN,TEMOZOLOMIDE,50.0,250.0,32.43197458,2.174885822,17.71287348,63.07362617,10.0,53.29202648,0,-18.1220444,-2.029948934,5.05768636,1,1,CARBOPLATIN.TEMOZOLOMIDE
10378,NCIH1650,MK-2206,BEZ-235,4.0,0.4,4.0,0.67697761,31.23268828,0.026192381,2.282002176,42.52027988,0,25.29256951,9.659858457,35.19605337,1,1,BEZ-235.MK-2206
8953,LOVO,GELDANAMYCIN,SORAFENIB,2.0,20.0,2.0,10.0,2.010397052,7.311120444,6.725176024,11.37842292,0,-22.12371217,-9.793059001,-8.196654151,1,1,GELDANAMYCIN.SORAFENIB
16047,RPMI7951,5-FU,MK-8669,10.0,0.01,1.786006016,1.469175186,48.33984502,0.000292703,1.37366414,39.15969592,0,19.87845057,-6.729122208,26.40644858,1,1,5-FU.MK-8669
20174,UACC62,AZD1775,MK-4827,0.5,10.0,0.183190654,10.0,57.39214217,10.0,0.873190421,73.26849642,0,17.77122804,16.13995705,19.69467284,1,1,AZD1775.MK-4827
16629,SKMEL30,5-FU,MK-5108,10.0,2.0,3.267220926,10.0,64.80363476,0.653052447,10.0,83.20797823,0,16.5005551,13.83733145,18.63993957,1,1,5-FU.MK-5108
19322,SW837,MRK-003,LAPATINIB,10.0,5.0,4.985623296,2.959677302,62.23236391,5.0,0.478748874,4.935309315,0,39.88098803,32.94035513,46.18664976,1,1,LAPATINIB.MRK-003
7178,HT29,GELDANAMYCIN,BEZ-235,2.0,0.4,0.081895764,1.955921794,7.257684599,0.041701794,1.261010335,45.82771205,0,16.64256001,-2.897634379,20.21889111,1,1,BEZ-235.GELDANAMYCIN
19103,SW837,DEXAMETHASONE,GELDANAMYCIN,10.0,2.0,1.0,0.0,100.0,0.103979905,10.0,29.40630103,0,-16.85911108,-16.85911108,-16.85911108,1,1,DEXAMETHASONE.GELDANAMYCIN
10681,NCIH1650,VINORELBINE,DASATINIB,0.04,3.0,0.009176446,1.563571522,34.55963019,0.029360868,0.700151392,20.38356087,0,23.48138375,-3.2656022,28.83474508,1,1,DASATINIB.VINORELBINE
9676,MSTO,DOXORUBICIN,DASATINIB,0.3,3.0,0.019576934,1.253194512,18.9094291,0.045772073,1.257720915,32.80229796,0,33.39608286,-6.294250707,39.49118386,1,1,DASATINIB.DOXORUBICIN
1515,A375,MK-5108,BORTEZOMIB,2.0,0.04,1.0,0.0,100.0,0.00958092,10.0,1.597098622,0,17.73664544,17.73664544,17.73664544,1,1,BORTEZOMIB.MK-5108
10467,NCIH1650,MK-8669,SN-38,0.01,0.005,0.001358444,0.812534979,75.9399994,0.00188536,1.217302552,90.91910799,0,16.90052513,10.2746512,17.90144375,1,1,MK-8669.SN-38
357,A2058,MRK-003,DASATINIB,10.0,3.0,10.0,10.0,86.40081666,0.025977973,1.019602605,91.46819517,0,27.23974149,25.11133577,28.1108152,1,1,DASATINIB.MRK-003
6662,HT29,CARBOPLATIN,PD325901,50.0,0.1,13.79069445,10.0,84.10093453,0.006286773,1.517561129,29.97851036,0,-15.91215994,-20.50729363,-13.29560619,1,1,CARBOPLATIN.PD325901
21080,UWB1289,MRK-003,OXALIPLATIN,10.0,20.0,4.13902848,4.546744191,40.33343852,3.224223076,1.06260383,28.35061356,0,-21.89546459,-22.45520778,-11.03631764,1,1,MRK-003.OXALIPLATIN
19838,T47D,MK-4541,MITOMYCINE,4.0,1.0,2.190223231,4.226337788,73.35433696,0.224957361,1.534897258,25.64697092,0,-15.67660964,-16.64461049,-11.17012579,1,1,MITOMYCINE.MK-4541
14595,OVCAR3,MK-8669,MK-8776,0.01,4.0,0.000695729,1.617905165,67.02791938,0.464345644,2.756344157,25.42479539,0,32.87123517,19.08121821,39.75751491,1,1,MK-8669.MK-8776
22359,VCAP,SUNITINIB,AZD1775,5.0,0.5,5.0,10.0,18.64987029,0.236579327,10.0,8.64986852,0,-19.68102822,1.888553643,2.513466687,1,1,AZD1775.SUNITINIB
5822,HCT116,METHOTREXATE,GELDANAMYCIN,0.2,2.0,0.01294925,10.0,14.14597159,0.574304613,4.19195591,30.5290161,0,-29.95348932,-30.5878143,-23.57022812,1,1,GELDANAMYCIN.METHOTREXATE
99,A2058,CYCLOPHOSPHAMIDE,MK-8669,10.0,0.01,1.0,0.0,100.0,0.00102899,2.008823373,78.66141835,0,17.43025538,17.43025538,17.43025538,1,1,CYCLOPHOSPHAMIDE.MK-8669
14890,PA1,AZD1775,MK-8669,0.5,0.01,0.232505379,10.0,48.57788165,0.000536966,10.0,85.69719959,0,29.46282664,28.70790695,34.57351314,1,1,AZD1775.MK-8669
8414,LOVO,BORTEZOMIB,SN-38,0.04,0.005,0.009431599,2.042741068,0.0,0.005,1.443450566,34.44719259,0,34.56740361,38.35792701,46.20110872,1,1,BORTEZOMIB.SN-38
15760,RKO,MK-4827,SN-38,10.0,0.005,7.236786464,1.373668855,35.65022156,0.001790296,10.0,63.39789116,0,36.32836854,44.28047986,49.70975395,1,1,MK-4827.SN-38
15495,RKO,AZD1775,SN-38,0.5,0.005,0.236381455,10.0,57.07764202,0.001790296,10.0,63.39789116,0,-18.36213447,-2.622501985,-0.096230771,1,1,AZD1775.SN-38
13224,OCUBM,DEXAMETHASONE,MK-8669,10.0,0.01,1.0,0.0,100.0,0.000572526,3.994336344,22.3452615,0,37.40313249,37.40313249,37.40313249,1,1,DEXAMETHASONE.MK-8669
16835,SKMEL30,L778123,MK-8669,5.0,0.01,2.511332239,1.440093098,32.86517938,0.000562442,10.0,92.29145298,0,40.38550558,33.75296217,41.01148377,1,1,L778123.MK-8669
1534,A375,MK-8669,SORAFENIB,0.01,20.0,1.0,0.0,100.0,13.16779074,3.187850242,0.0,0,25.92609528,25.92609528,25.92609528,1,1,MK-8669.SORAFENIB
6773,HT29,GEMCITABINE,AZD1775,0.01,0.5,0.002965908,4.743741728,42.37212557,0.342982665,3.163591651,0.0,0,19.796353,26.02002863,30.47018029,1,1,AZD1775.GEMCITABINE
11491,NCIH23,ERLOTINIB,DASATINIB,5.0,3.0,5.0,0.897435425,20.94433559,0.102331447,0.938147333,70.46496068,0,18.40031935,-5.327508948,24.36707956,1,1,DASATINIB.ERLOTINIB
18191,SKOV3,METHOTREXATE,SORAFENIB,0.2,20.0,0.052929861,10.0,86.72116632,11.24783883,10.0,18.84178895,0,15.06737916,14.66029201,16.80033391,1,1,METHOTREXATE.SORAFENIB
11439,NCIH23,DASATINIB,MK-8669,3.0,0.01,0.102331447,0.938147333,70.46496068,0.000735258,1.638180792,75.33258112,0,52.63454839,19.56284695,55.92091417,1,1,DASATINIB.MK-8669
4932,ES2,DOXORUBICIN,BORTEZOMIB,0.3,0.04,0.067056115,1.438755694,14.07723803,0.010181121,10.0,4.299070337,0,-25.23666575,-3.172213443,7.420269961,1,1,BORTEZOMIB.DOXORUBICIN
20183,UACC62,AZD1775,GELDANAMYCIN,0.5,2.0,0.183190654,10.0,57.39214217,0.313499574,1.491782615,10.58140747,0,18.76259454,16.32263727,26.91059574,1,1,AZD1775.GELDANAMYCIN
2390,A427,GELDANAMYCIN,MK-8776,2.0,4.0,0.267763617,1.599646228,22.2154231,0.330904094,10.0,63.50630177,0,20.6332376,7.206961069,30.89789073,1,1,GELDANAMYCIN.MK-8776
