CELL_LINE,COMPOUND_A,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
A2058,5-FU,58.8653982902,0.0,4.7964768694,4.12275172241,29.2124617424,0.0,0.0,0.0,11.0815723973,10.611699166,9.57933872536
A2058,ABT-888,8.63243570784,0.0,4.90808716785,3.84521414802,26.9740970808,0.0,0.0,0.0,13.5243041418,13.5243041418,13.5243041418
A2058,AZD1775,5.57458258812,0.0,2.74041281191,4.09730130471,30.0431777236,0.0,0.0,0.0,24.8328934205,18.92150702,20.4285386471
A2058,BEZ-235,2.28630706599,0.0,0.264404429708,0.139356459375,39.8958565673,0.0,0.0,0.0,27.8892006493,16.1316132823,19.7626246069
A2058,BORTEZOMIB,7.9459451574,0.0,3.7607484984,3.62463771537,35.2828498698,0.0,0.0,0.0,24.1348789366,8.0287963316,8.28843014686
A2058,CARBOPLATIN,60.3662081524,0.0,4.84089529419,4.00537736949,26.2493798046,0.0,0.0,0.0,19.7212399414,13.6050964481,14.0453132583
A2058,CYCLOPHOSPHAMIDE,58.8944119384,0.0,4.81939144384,4.04188808383,29.0102098472,0.0,0.0,0.0,9.67458660212,9.67458660212,9.67458660212
A2058,DASATINIB,7.32657221623,0.0,3.30359031754,4.34929963726,35.5141030168,0.0,0.0,0.0,28.5747574823,26.4965099579,28.9611551687
A2058,DEXAMETHASONE,55.7659713053,0.0,4.56657241158,4.05080288741,27.0754610835,0.0,0.0,0.0,14.6928260885,14.6928260885,14.6928260885
A2058,DINACICLIB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2058,DOXORUBICIN,62.5533935204,0.0,5.06596423439,3.86626369253,25.666976078,0.0,0.0,0.0,9.17576892832,11.0278467807,8.67419218625
A2058,ERLOTINIB,6.61970399986,0.0,4.02192673708,4.40710921793,35.7424770964,0.0,0.0,0.0,16.6003222865,15.3207325782,15.6196431578
A2058,ETOPOSIDE,64.6215300011,0.0,5.1861219179,4.05945715798,27.8861086414,0.0,0.0,0.0,20.8385322192,16.2722606586,17.4390662303
A2058,GELDANAMYCIN,0.4274906014,0.0,0.0239182627099,3.50515269207,12.2428146888,0.0,0.0,0.0,11.298083242,5.86601586047,4.48018083055
A2058,GEMCITABINE,64.8859206526,0.0,4.52993047987,4.22339411006,30.9155417482,0.0,0.0,0.0,17.0966250501,15.4460688283,16.2527314349
A2058,L778123,6.02131416676,0.0,3.40358217595,3.92858347805,27.3252752487,0.0,0.0,0.0,13.8587540789,12.7051824094,14.0972554552
A2058,LAPATINIB,7.06390844091,0.0,4.007078722,4.00166052057,28.0456644804,0.0,0.0,0.0,9.1256427017,7.79428012843,8.83771433142
A2058,METFORMIN,58.8638844391,0.0,4.80391437498,3.93543059853,28.327085803,0.0,0.0,0.0,8.61134755692,8.61134755692,8.61134755692
A2058,METHOTREXATE,64.4330082683,0.0,5.16516775091,3.96387059328,28.7031540201,0.0,0.0,0.0,9.70045405398,13.3066442602,8.68242903144
A2058,MITOMYCINE,4.89895672732,0.0,3.19688061164,4.08699528696,28.3535229441,0.0,0.0,0.0,34.477871745,31.9465467093,33.702937265
A2058,MK-2206,5.76350743339,0.0,2.80328584221,4.23414485988,32.6463299757,0.0,0.0,0.0,25.1168697277,21.6352489403,23.2928782804
A2058,MK-4541,48.4923210015,0.0,4.71619391083,4.29902465788,33.6182379792,0.0,0.0,0.0,15.4303641553,15.4303641553,15.4303641553
A2058,MK-4827,6.33498631245,0.0,3.03409212931,4.19396705046,32.58191988,0.0,0.0,0.0,13.0660009856,17.9837866531,17.6180502473
