MDAMB436.MK-4827,ARF6,PARP1,0.1775,gex
MDAMB436.ABT-888,ARF6,PARP1,0.1775,gex
MDAMB436.GEMCITABINE,RRM1,SMAD4,0.5,gex
MDAMB436.GEMCITABINE,SMAD4,TYMS,0.5,gex
MDAMB436.GEMCITABINE,CMPK1,SMAD4,0.5,gex
MDAMB436.MK-2206,AKT1,SMAD4,0.56,gex
MDAMB436.5-FU,SMAD4,TYMS,0.5,gex
MDAMB436.BEZ-235,NCBP2,PIK3CA,0.2,gex
OCUBM.MK-4827,PARP1,RPL13A,0.521,gex
OCUBM.MK-4827,PARP2,RPL13A,0.485,gex
OCUBM.SORAFENIB,PDGFRA,SMARCA1,0.506,gex
OCUBM.SORAFENIB,PDGFRB,SMARCA1,0.506,gex
OCUBM.SORAFENIB,KIT,SMARCA1,0.506,gex
OCUBM.SORAFENIB,PDGFRA,SKP1,0.506,gex
OCUBM.SORAFENIB,PDGFRB,SKP1,0.506,gex
OCUBM.SORAFENIB,KIT,SKP1,0.506,gex
OCUBM.SORAFENIB,CLTA,PDGFRA,0.587,gex
OCUBM.SORAFENIB,CLTA,PDGFRB,0.587,gex
OCUBM.SORAFENIB,CLTA,KIT,0.587,gex
OCUBM.SORAFENIB,KDR,RPL13A,0.512,gex
OCUBM.SORAFENIB,MGAT2,PDGFRA,0.509,gex
OCUBM.SORAFENIB,MGAT2,PDGFRB,0.509,gex
OCUBM.SORAFENIB,KIT,MGAT2,0.509,gex
OCUBM.ABT-888,PARP1,RPL13A,0.521,gex
OCUBM.ABT-888,PARP2,RPL13A,0.485,gex
OCUBM.MK-8669,MTOR,RPL13A,0.542,gex
OCUBM.GEMCITABINE,MAPKAPK3,RRM1,0.473,gex
OCUBM.GEMCITABINE,MAPKAPK3,TYMS,0.473,gex
OCUBM.GEMCITABINE,CMPK1,MAPKAPK3,0.473,gex
OCUBM.GEMCITABINE,RPL13A,RRM1,0.482,gex
OCUBM.SUNITINIB,PDGFRA,SMARCA1,0.506,gex
OCUBM.SUNITINIB,PDGFRB,SMARCA1,0.506,gex
OCUBM.SUNITINIB,KIT,SMARCA1,0.506,gex
OCUBM.SUNITINIB,PDGFRA,SKP1,0.506,gex
OCUBM.SUNITINIB,PDGFRB,SKP1,0.506,gex
OCUBM.SUNITINIB,KIT,SKP1,0.506,gex
OCUBM.SUNITINIB,CLTA,PDGFRA,0.587,gex
OCUBM.SUNITINIB,CLTA,PDGFRB,0.587,gex
OCUBM.SUNITINIB,CLTA,KIT,0.587,gex
OCUBM.SUNITINIB,KDR,RPL13A,0.512,gex
OCUBM.SUNITINIB,MGAT2,PDGFRA,0.509,gex
OCUBM.SUNITINIB,MGAT2,PDGFRB,0.509,gex
OCUBM.SUNITINIB,KIT,MGAT2,0.509,gex
OCUBM.LAPATINIB,EGFR,RPL13A,0.488,gex
OCUBM.DINACICLIB,CDK2,RPL13A,0.545,gex
OCUBM.MK-8776,CHEK1,NPRL2,0.1775,gex
OCUBM.MK-5108,ABCC1,AURKA,0.5,gex
OCUBM.GELDANAMYCIN,HSP90AB1,NDUFAF4,0.2,gex
OCUBM.5-FU,MAPKAPK3,TYMS,0.473,gex
OCUBM.DASATINIB,KIT,SMARCA1,0.506,gex
OCUBM.DASATINIB,KIT,SKP1,0.506,gex
OCUBM.DASATINIB,CLTA,KIT,0.587,gex
OCUBM.DASATINIB,KIT,MGAT2,0.509,gex
OCUBM.BEZ-235,MTOR,RPL13A,0.542,gex
OCUBM.ERLOTINIB,EGFR,RPL13A,0.488,gex
T47D.MK-4827,PARP1,POLD1,0.56,gex
T47D.MK-4827,PARP2,POLD1,0.557,gex
T47D.SORAFENIB,KDR,POLD1,0.554,gex
T47D.SORAFENIB,PDGFRA,SESTD1,0.515,gex
T47D.SORAFENIB,PDGFRB,SESTD1,0.515,gex
T47D.SORAFENIB,KIT,SESTD1,0.515,gex
T47D.ABT-888,PARP1,POLD1,0.56,gex
T47D.ABT-888,PARP2,POLD1,0.557,gex
T47D.MK-8669,MTOR,POLD1,0.545,gex
T47D.GEMCITABINE,POLD1,RRM1,0.53,gex
T47D.SUNITINIB,KDR,POLD1,0.554,gex
T47D.SUNITINIB,PDGFRA,SESTD1,0.515,gex
T47D.SUNITINIB,PDGFRB,SESTD1,0.515,gex
T47D.SUNITINIB,KIT,SESTD1,0.515,gex
T47D.LAPATINIB,EGFR,POLD1,0.554,gex
T47D.LAPATINIB,EGFR,TM4SF1,0.2,gex
T47D.DINACICLIB,CDK2,POLD1,0.551,gex
T47D.DASATINIB,KIT,SESTD1,0.515,gex
T47D.BEZ-235,MTOR,POLD1,0.545,gex
T47D.BEZ-235,DHX15,PIK3CA,0.17,gex
T47D.ERLOTINIB,EGFR,POLD1,0.554,gex
T47D.ERLOTINIB,EGFR,TM4SF1,0.2,gex
HCT116.MK-4827,PARP1,ZBTB32,0.56,gex
HCT116.MK-4827,PARP2,ZBTB32,0.557,gex
HCT116.SORAFENIB,KDR,ZBTB32,0.536,gex
HCT116.SORAFENIB,PDGFRA,ZNF140,0.506,gex
HCT116.SORAFENIB,PDGFRB,ZNF140,0.506,gex
HCT116.SORAFENIB,KIT,ZNF140,0.506,gex
HCT116.ABT-888,PARP1,ZBTB32,0.56,gex
HCT116.ABT-888,PARP2,ZBTB32,0.557,gex
HCT116.MK-8669,MTOR,ZBTB32,0.548,gex
HCT116.GEMCITABINE,RRM1,ZBTB32,0.533,gex
HCT116.SUNITINIB,KDR,ZBTB32,0.536,gex
HCT116.SUNITINIB,PDGFRA,ZNF140,0.506,gex
HCT116.SUNITINIB,PDGFRB,ZNF140,0.506,gex
HCT116.SUNITINIB,KIT,ZNF140,0.506,gex
HCT116.LAPATINIB,EGFR,ZBTB32,0.542,gex
HCT116.LAPATINIB,EGFR,TM4SF1,0.2,gex
HCT116.DINACICLIB,CDK2,ZBTB32,0.557,gex
HCT116.DASATINIB,KIT,ZNF140,0.506,gex
HCT116.BEZ-235,MTOR,ZBTB32,0.548,gex
HCT116.ERLOTINIB,EGFR,ZBTB32,0.542,gex
HCT116.ERLOTINIB,EGFR,TM4SF1,0.2,gex
DLD1.SORAFENIB,PDGFRA,SMARCA1,0.506,gex
DLD1.SORAFENIB,PDGFRB,SMARCA1,0.506,gex
DLD1.SORAFENIB,KIT,SMARCA1,0.506,gex
DLD1.SUNITINIB,PDGFRA,SMARCA1,0.506,gex
DLD1.SUNITINIB,PDGFRB,SMARCA1,0.506,gex
DLD1.SUNITINIB,KIT,SMARCA1,0.506,gex
DLD1.DASATINIB,KIT,SMARCA1,0.506,gex
HT29.MK-4827,PARP1,PARP2,0.273125,gex
HT29.MK-4827,PARP1,WRAP53,0.548,gex
HT29.MK-4827,PARP2,WRAP53,0.545,gex
HT29.SORAFENIB,KDR,PARP2,0.557,gex
HT29.SORAFENIB,PDGFRA,THAP1,0.506,gex
HT29.SORAFENIB,PDGFRB,THAP1,0.506,gex
HT29.SORAFENIB,KIT,THAP1,0.506,gex
HT29.SORAFENIB,KDR,WRAP53,0.515,gex
HT29.ABT-888,PARP1,PARP2,0.273125,gex
HT29.ABT-888,PARP1,WRAP53,0.548,gex
HT29.ABT-888,PARP2,WRAP53,0.545,gex
HT29.MK-8669,MTOR,PARP2,0.557,gex
HT29.MK-8669,MTOR,WRAP53,0.542,gex
HT29.GEMCITABINE,PARP2,RRM1,0.527,gex
HT29.GEMCITABINE,RRM1,WRAP53,0.518,gex
HT29.GEMCITABINE,RRM1,SMAD4,0.5,gex
HT29.GEMCITABINE,SMAD4,TYMS,0.5,gex
HT29.GEMCITABINE,CMPK1,SMAD4,0.5,gex
HT29.GEMCITABINE,PBK,TYMS,0.191,gex
HT29.SUNITINIB,KDR,PARP2,0.557,gex
HT29.SUNITINIB,PDGFRA,THAP1,0.506,gex
HT29.SUNITINIB,PDGFRB,THAP1,0.506,gex
HT29.SUNITINIB,KIT,THAP1,0.506,gex
HT29.SUNITINIB,KDR,WRAP53,0.515,gex
HT29.L778123,FNTA,VDAC3,0.2,gex
HT29.L778123,FNTA,THAP1,0.2,gex
HT29.L778123,FNTA,GOLGA7,0.2,gex
HT29.LAPATINIB,EGFR,PARP2,0.815,gex
HT29.LAPATINIB,EGFR,WRAP53,0.542,gex
HT29.MK-2206,AKT1,SMAD4,0.56,gex
HT29.DINACICLIB,CDK2,WRAP53,0.557,gex
HT29.5-FU,SMAD4,TYMS,0.5,gex
HT29.5-FU,PBK,TYMS,0.191,gex
HT29.DASATINIB,KIT,THAP1,0.506,gex
HT29.BEZ-235,MTOR,PARP2,0.557,gex
HT29.BEZ-235,MTOR,WRAP53,0.542,gex
HT29.ERLOTINIB,EGFR,PARP2,0.815,gex
HT29.ERLOTINIB,EGFR,WRAP53,0.542,gex
LOVO.MK-4827,PARP1,UNG,0.56,gex
LOVO.MK-4827,PARP2,UNG,0.557,gex
LOVO.MK-4827,PARP1,SSBP1,0.512,gex
LOVO.MK-4827,PARP2,SSBP1,0.557,gex
LOVO.MK-4827,GTF2H1,PARP1,0.536,gex
LOVO.MK-4827,GTF2H1,PARP2,0.539,gex
LOVO.MK-4827,PARP1,PIK3CA,0.34334375,gex
LOVO.MK-4827,NAE1,PARP1,0.575,gex
LOVO.MK-4827,NAE1,PARP2,0.611,gex
LOVO.MK-4827,CASP3,PARP1,0.464375,gex
LOVO.MK-4827,CDK5,PARP1,0.304,gex
LOVO.MK-4827,ATR,PARP1,0.4305,gex
LOVO.MK-4827,MTOR,PARP1,0.557,gex
LOVO.MK-4827,MTOR,PARP2,0.557,gex
LOVO.SORAFENIB,GLT8D1,PDGFRA,0.503,gex
LOVO.SORAFENIB,GLT8D1,PDGFRB,0.503,gex
LOVO.SORAFENIB,GLT8D1,KIT,0.503,gex
LOVO.SORAFENIB,KDR,UNG,0.548,gex
LOVO.SORAFENIB,PDGFRA,TRIP11,0.509,gex
LOVO.SORAFENIB,PDGFRB,TRIP11,0.509,gex
LOVO.SORAFENIB,KIT,TRIP11,0.509,gex
LOVO.SORAFENIB,KDR,SSBP1,0.533,gex
LOVO.SORAFENIB,PDGFRA,PPP3CB,0.443,gex
LOVO.SORAFENIB,PDGFRB,PPP3CB,0.443,gex
LOVO.SORAFENIB,KIT,PPP3CB,0.443,gex
LOVO.SORAFENIB,GTF2H1,KDR,0.554,gex
LOVO.SORAFENIB,GGCX,PDGFRA,0.503,gex
LOVO.SORAFENIB,GGCX,PDGFRB,0.503,gex
LOVO.SORAFENIB,GGCX,KIT,0.503,gex
LOVO.SORAFENIB,ABCC10,KDR,0.473,gex
LOVO.SORAFENIB,MBD4,PDGFRA,0.548,gex
LOVO.SORAFENIB,MBD4,PDGFRB,0.548,gex
LOVO.SORAFENIB,KIT,MBD4,0.548,gex
LOVO.SORAFENIB,CAPRIN1,PDGFRA,0.503,gex
LOVO.SORAFENIB,CAPRIN1,PDGFRB,0.503,gex
LOVO.SORAFENIB,CAPRIN1,KIT,0.503,gex
LOVO.SORAFENIB,PDGFRA,ZNF473,0.515,gex
LOVO.SORAFENIB,PDGFRB,ZNF473,0.515,gex
LOVO.SORAFENIB,KIT,ZNF473,0.515,gex
LOVO.SORAFENIB,DLAT,PDGFRA,0.506,gex
LOVO.SORAFENIB,DLAT,PDGFRB,0.506,gex
LOVO.SORAFENIB,DLAT,KIT,0.506,gex
LOVO.SORAFENIB,DCK,KDR,0.473,gex
LOVO.SORAFENIB,API5,PDGFRA,0.506,gex
LOVO.SORAFENIB,API5,PDGFRB,0.506,gex
LOVO.SORAFENIB,API5,KIT,0.506,gex
LOVO.SORAFENIB,PDGFRA,ZNF140,0.506,gex
LOVO.SORAFENIB,PDGFRB,ZNF140,0.506,gex
LOVO.SORAFENIB,KIT,ZNF140,0.506,gex
LOVO.SORAFENIB,CALM1,PDGFRA,0.506,gex
LOVO.SORAFENIB,CALM1,PDGFRB,0.506,gex
LOVO.SORAFENIB,CALM1,KIT,0.506,gex
LOVO.SORAFENIB,KDR,MTOR,0.545,gex
LOVO.ABT-888,PARP1,UNG,0.56,gex
LOVO.ABT-888,PARP2,UNG,0.557,gex
LOVO.ABT-888,PARP1,SSBP1,0.512,gex
LOVO.ABT-888,PARP2,SSBP1,0.557,gex
LOVO.ABT-888,GTF2H1,PARP1,0.536,gex
LOVO.ABT-888,GTF2H1,PARP2,0.539,gex
LOVO.ABT-888,PARP1,PIK3CA,0.34334375,gex
LOVO.ABT-888,NAE1,PARP1,0.575,gex
LOVO.ABT-888,NAE1,PARP2,0.611,gex
LOVO.ABT-888,CASP3,PARP1,0.464375,gex
LOVO.ABT-888,CDK5,PARP1,0.304,gex
LOVO.ABT-888,ATR,PARP1,0.4305,gex
LOVO.ABT-888,MTOR,PARP1,0.557,gex
LOVO.ABT-888,MTOR,PARP2,0.557,gex
LOVO.METFORMIN,NAE1,PRKAB1,0.629,gex
LOVO.MK-8669,MTOR,UNG,0.554,gex
